127593 97859
109742 107734 165118
32984 70283 30704
18844 32662 48863
125399 87876 92917
10701 91235 151566
69470 120420 19489
82947 53803 63791
50778 650 61689
123309 3132 194873
19294 6195 56746
47344 44369 83855
78693 48535 73260
35478 756 193434
27532 34655 143291
126728 28387 150545
107354 13261 132042
32805 63470 186986
74937 9270 66145
74741 63567 81205
94801 25871 119637
49684 122822 47102
52 78524 152633
10961 59033 177604
38164 123903 127152
34962 38446 172864
104011 21266 195948
1667 24442 51694
83759 97142 19635
21689 78857 36519
63241 87057 65072
50133 46190 17675
94330 9106 30913
55251 97971 67826
107141 32566 62874
123756 3132 173974
123306 108038 109401
40938 110189 98456
26317 13729 154533
80355 93832 51820
41452 63191 166328
14592 87242 35780
11082 105767 104018
21625 48651 199098
47936 85485 140552
40192 25497 74448
110714 77198 195550
19756 76712 132315
75026 87351 150633
127085 68186 119117
62 1869 78872
84697 104321 158196
72557 95367 153511
71793 16350 6350
10276 22586 134492
41784 43339 19643
61718 120157 23784
124229 67072 86087
68920 6217 157752
106028 123917 154536
6101 33535 85516
41265 42362 20839
101335 77350 151648
93963 6514 143956
112167 98773 2466
10638 51596 117046
27989 109410 15399
34449 32327 104979
120907 54885 75321
60914 12607 109650
102442 39852 82185
25150 121862 103597
118381 65066 107705
6542 194 16500
66086 30371 75084
88220 74180 80889
59170 117849 170715
127371 37218 157814
62659 60422 75058
50966 16555 190214
51092 101141 20783
52168 46555 47856
50432 27243 181477
31256 88950 72663
48990 103995 194085
37152 48478 104462
42466 68599 187998
38916 12603 49571
31763 64834 183568
58463 109747 112322
121108 80189 50551
34989 109530 176072
64834 83993 124551
102671 105028 63416
67856 3747 77463
7687 5915 21312
57294 92367 89089
23554 22943 8546
108775 57293 182908
80381 87768 6857
67447 80679 189305
127292 124722 77745
19114 3447 188967
50289 54555 68779
36367 15404 46195
54116 4085 27986
71939 92026 72478
63339 43735 105912
63618 124497 47118
113122 32048 7232
100418 77849 49699
94858 41667 159093
66737 67025 91859
36205 60332 4089
89680 75671 64657
114403 70060 177447
46775 126237 156139
20202 50696 59068
19169 65304 145483
111846 125650 22111
64573 2630 224
19105 8102 50615
25609 4282 112590
87205 113345 179349
58117 1658 118234
3528 104055 135779
2905 78476 197099
1024 85904 37627
35388 93035 159822
88002 56763 10426
29017 3988 176249
53418 55940 119932
14458 124039 199366
45794 76 42667
57104 77590 188613
30276 83547 80827
110826 1245 35976
17141 116915 48026
74477 125077 2199
24688 77988 100804
103095 17470 153757
99819 102124 154881
17265 102426 104911
90924 3016 117598
87772 1076 161815
3148 6997 141542
78135 30476 177322
60636 54994 185788
16348 69115 187429
29559 17801 105515
76603 110104 88693
18119 109954 127951
95772 17056 42284
123037 3836 52635
18239 91509 104582
26756 50185 164270
65790 21774 125312
114258 21830 189863
108420 95090 126768
2676 98851 50201
18729 65863 172765
42800 45879 32573
121581 1608 191341
110575 125412 191418
69934 96079 28459
106096 26592 14133
114085 50032 94887
41091 115950 165192
76120 79061 104736
93542 8536 199516
93718 24774 2519
76495 54682 895
64753 94834 130539
1727 31005 161969
1777 1517 34133
104960 87114 25338
